Gaia G,Gaia DR4 Alone,Gaia + NANCY,Gaia + NANCY + LSST
18.0,0.05740435586584239,0.03696230191940126,0.03211978524852451
18.035353535353536,0.05870290032945948,0.037336917697549085,0.032347841728210584
18.07070707070707,0.06003842061216355,0.03771033242372168,0.03257445557611723
18.106060606060606,0.06141215469346849,0.03808245213188857,0.03279969456677637
18.141414141414142,0.06282538377858964,0.03845319233316869,0.03302363726442561
18.17676767676768,0.06427943372532854,0.03882247885387136,0.03324637330794448
18.21212121212121,0.06577567651445912,0.039191062615721674,0.03346847715449305
18.247474747474747,0.06731553176502902,0.03955975848712148,0.03369054380785484
18.282828282828284,0.06890046829605065,0.03992702955537614,0.03391181335281577
18.318181818181817,0.07053200573612131,0.04029285440097153,0.03413242146195553
18.353535353535353,0.07221171618257523,0.04065722558161424,0.034352515972369935
18.38888888888889,0.07394122591183626,0.04102015037503038,0.034572257125068034
18.424242424242426,0.07572221714271497,0.041384003670097945,0.03479309782771138
18.45959595959596,0.07755642985446001,0.04174774530034843,0.03501460088221139
18.494949494949495,0.07944566366145242,0.04211039134357564,0.03523638975937427
18.53030303030303,0.08139177974650288,0.04247201677638996,0.03545867434512217
18.565656565656564,0.08339670285479726,0.04283271407758915,0.03568167780148936
18.6010101010101,0.08546242335061043,0.04319272016744096,0.0359057018534935
18.636363636363637,0.08759099933899166,0.04355647429878379,0.03613318964523762
18.671717171717173,0.08978455885471483,0.04391996128829756,0.036362234049272586
18.707070707070706,0.09204530212086659,0.044283349241053024,0.03659310992841521
18.742424242424242,0.09437550387954077,0.04464682570538693,0.036826106228094985
18.77777777777778,0.09677751579719068,0.04501059812387216,0.03706152620077637
18.813131313131315,0.09925376894729512,0.04537709220374073,0.0373007463496333
18.848484848484848,0.10180677637307663,0.045748297839264915,0.0375448932130194
18.883838383838384,0.10443913573311843,0.04612086386786481,0.037792546300561225
18.91919191919192,0.10715353203281626,0.04649507833503305,0.03804406261804251
18.954545454545453,0.10995274044471302,0.04687125038761828,0.03829981428810218
18.98989898989899,0.1128396292208604,0.0472497106513964,0.03856018878127228
19.025252525252526,0.11581716270045854,0.047636378921999574,0.03882809332550982
19.060606060606062,0.1188884044161388,0.048028603780933855,0.03910251411562269
19.095959595959595,0.12205652030235967,0.048424602051940435,0.03938288875733607
19.13131313131313,0.12532478200950473,0.04882478662434533,0.039669660094069
19.166666666666668,0.12869657032737988,0.04922959286315981,0.039963287152958354
19.2020202020202,0.13217537872193993,0.049640042051657875,0.040264483890408584
19.237373737373737,0.13576481698918344,0.050065561109980936,0.040577476216244905
19.272727272727273,0.1394686150302856,0.05049755244298086,0.040898863180029006
19.30808080808081,0.1432906267521726,0.05093653380471936,0.0412291599772361
19.343434343434343,0.14723483409786392,0.051383046648416565,0.04156889892956163
19.37878787878788,0.15130535121105382,0.05183765662965204,0.041918629745868984
19.414141414141415,0.15550642873953277,0.05230548906156828,0.042280697514665025
19.449494949494948,0.15984245828220864,0.05278970801466448,0.04265660081499089
19.484848484848484,0.16431797698462158,0.053284260550076554,0.0430442771994453
19.52020202020202,0.16893767228800202,0.05378979829174346,0.043444336386737385
19.555555555555557,0.17370638683708955,0.0543069990403917,0.04385740695038402
19.59090909090909,0.17862912355207738,0.054836567428050154,0.04428413670470687
19.626262626262626,0.18371105087022763,0.055390050855582955,0.044729084208654006
19.661616161616163,0.18895750816286244,0.05596150892120607,0.04519038677513567
19.696969696969695,0.19437401133363316,0.05654802121403758,0.045667391478481305
19.732323232323232,0.19996625860413728,0.0571503833719129,0.046160813441734214
19.767676767676768,0.20574013649314735,0.05776942074198402,0.04667138994706672
19.803030303030305,0.21170172599592738,0.05840773820965872,0.047200462493213614
19.838383838383837,0.21785730897029387,0.05908340784865166,0.04775440329085588
19.873737373737374,0.22421337473631245,0.059778903642470564,0.048327780845404684
19.90909090909091,0.23077662689671552,0.06049514367596537,0.04892141165810468
19.944444444444443,0.23755399038537992,0.06123307953356073,0.04953613968350353
19.97979797979798,0.2445526187514148,0.06199369735035358,0.050172837473525356
20.015151515151516,0.25177990168665637,0.06278395202848865,0.050834182833066
20.050505050505052,0.2592434728046318,0.06360706981001156,0.051521649581289436
20.085858585858585,0.26695121767929153,0.06445629258195734,0.05223380859899811
20.12121212121212,0.27491128215209665,0.0653327312978106,0.05297165150884181
20.156565656565657,0.28313208091630615,0.06623753697420826,0.05373620609575864
20.19191919191919,0.2916223063876172,0.0671719019735158,0.05452853777829865
20.227272727272727,0.3003909378706002,0.06816518488158359,0.05535726859969645
20.262626262626263,0.3094472510306576,0.06919933496506578,0.05621804271698073
20.2979797979798,0.31880082768159757,0.0702673422951497,0.057109780460266
20.333333333333332,0.32846156589919673,0.07137051224658503,0.05803370181581139
20.36868686868687,0.3384396904715029,0.07251019865826952,0.05899107428282329
20.404040404040405,0.34874576369694743,0.0736916672149989,0.059984148715869615
20.439393939393938,0.35939069654173544,0.07494265307040579,0.06102047113540966
20.474747474747474,0.3703857601683411,0.07623486096241283,0.06209410887815638
20.51010101010101,0.3817425978473057,0.07756979234514366,0.0632065270938777
20.545454545454547,0.3934732372649886,0.07894900618699524,0.06435924548009364
20.58080808080808,0.4055901032402867,0.08037412084165729,0.06555383856160363
20.616161616161616,0.41810603086380516,0.08186580908675564,0.06679602086600334
